Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Complain
1972;1;2;51813.0;1;1;37;51.0;2.0;7.0;0.0;1.0;2.0;2.0;2.0;0.0;3;7.0;0.0
1951;3;3;78497.0;0;0;44;207.0;26.0;447.0;75.0;0.0;200.27102189365988;1.0;5.0;7.0;12;2.0;0.0
1983;4;3;50150.0;0;0;32;135.0;46.0;92.0;65.0;61.0;11.0;2.0;5.0;2.0;7;5.0;0.0
1960;3;4;47823.0;0;1;0;53.0;1.0;5.0;2.0;1.0;10.0;2.0;2.0;0.0;3;8.0;0.0
1959;4;4;34554.0;0;1;43;41.0;1.0;6.0;2.0;0.0;5.0;2.0;2.0;0.0;3;6.0;0.0
1979;1;5;85693.0;0;1;59;386.0;146.6455714594779;183.0;185.0;132.0;111.0;2.0;9.0;5.0;11;5.0;0.0
1945;4;3;65846.0;0;0;68;562.0;81.0;276.0;80.0;40.0;81.0;1.0;6.0;3.0;6;4.0;0.0
1959;1;3;87195.0;0;0;35;217.0;76.0;690.0;50.0;26.0;38.0;1.0;3.0;10.910125224068649;5;1.0;0.0
1979;0;5;24594.0;1;0;94;1.0;3.0;6.0;10.0;0.0;9.0;1.0;1.0;0.0;3;5.0;0.0
1964;1;3;49096.0;1;1;15;144.0;1.0;32.0;2.0;1.0;7.0;4.0;4.0;1.0;4;7.0;0.0
1969;1;3;52413.0;0;2;56;295.0;106.0;271.0;75.0;98.0;65.0;4.0;6.0;4.0;12;6.0;0.0
1978;1;4;38557.0;1;0;17;76.0;3.0;31.0;4.0;4.0;27.0;2.0;3.0;1.0;3;7.0;0.0
1960;2;3;89058.0;0;0;18;454.0;146.6455714594779;106.0;31.0;22.0;43.0;1.0;5.0;4.0;4;2.0;0.0
1979;1;5;77298.0;0;1;46;425.0;115.0;292.0;23.0;35.0;79.0;1.0;6.0;6.0;11;3.0;0.0
1991;4;4;68126.0;0;0;40;1314.5179221227115;17.0;311.0;23.0;51.0;86.0;1.0;7.0;4.0;5;9.0;0.0
1963;2;5;57288.0;0;1;27;527.0;0.0;21.0;0.0;0.0;60.0;3.0;8.0;1.0;8;6.0;0.0
1991;1;4;86037.0;0;0;95;490.0;44.0;125.0;29.0;20.0;22.0;1.0;6.0;7.0;11;3.0;0.0
1980;4;3;43974.0;1;0;19;378.0;0.0;101.0;0.0;0.0;72.0;5.0;6.0;4.0;6;7.0;0.0
1962;1;4;50785.0;1;1;27;64.0;1.0;21.0;0.0;1.0;27.0;2.0;2.0;1.0;3;6.0;0.0
1970;1;3;90765.0;0;0;25;547.0;99.0;812.0;151.0;82.0;33.0;0.0;4.0;6.0;5;1.0;0.0
1978;3;3;36550.0;1;0;74;47.0;90.0;94.0;123.0;103.0;120.0;5.0;9.0;1.0;5;9.0;0.0
1967;3;5;30753.0;1;1;85;12.0;5.0;25.0;0.0;9.0;30.0;2.0;1.0;1.0;3;5.0;0.0
1969;1;5;21918.0;1;0;37;1.0;6.0;7.0;11.0;5.0;3.0;2.0;2.0;0.0;3;6.0;0.0
1953;2;5;56129.0;0;1;65;320.0;48.0;133.0;39.0;72.0;48.0;4.0;6.0;2.0;10;4.0;0.0
1967;2;4;32557.0;1;0;13;34.0;3.0;29.0;0.0;4.0;10.0;3.0;2.0;1.0;3;5.0;0.0
1985;2;3;19510.0;2;0;63;9.0;0.0;7.0;3.0;4.0;7.0;2.0;1.0;0.0;3;7.0;0.0
1976;1;2;30992.0;1;0;83;17.0;0.0;14.0;7.0;3.0;2.0;1.0;1.0;0.0;3;7.0;0.0
1983;1;4;101970.0;0;0;69;722.0;27.0;102.0;44.0;72.0;168.0;0.0;6.0;8.0;13;2.0;0.0
1965;3;5;71488.0;0;0;87;162.0;33.0;124.0;40.0;28.0;172.0;2.0;3.0;4.0;7;1.0;0.0
1984;1;4;79607.0;0;0;37;450.0;133.0;820.2565973619579;173.0;0.0;200.27102189365988;1.0;3.0;6.0;6;1.0;0.0
1953;2;3;54348.0;1;1;51;70.0;0.0;16.0;0.0;0.0;4.0;2.0;2.0;0.0;4;6.0;0.0
1961;4;3;51606.0;0;1;23;352.0;0.0;27.0;10.0;0.0;15.0;3.0;6.0;1.0;7;6.0;0.0
1956;4;5;77376.0;1;1;72;492.0;19.0;110.0;16.0;12.0;12.0;4.0;6.0;3.0;10;4.0;0.0
1952;1;3;62998.0;0;1;10;120.0;58.0;73.0;65.0;89.0;58.0;5.0;5.0;4.0;5;5.0;0.0
1958;2;1;61331.0;1;1;42;534.0;5.0;47.0;0.0;5.0;41.0;5.0;11.0;1.0;6;8.0;0.0
1969;1;3;73448.0;0;0;10;236.0;106.0;189.0;23.0;41.0;130.0;1.0;7.0;2.0;9;4.0;0.0
1963;1;3;51606.0;0;1;96;231.0;65.0;196.0;38.0;71.0;124.0;1.0;6.0;5.0;7;4.0;0.0
1964;4;3;41551.0;1;1;51;220.0;0.0;33.0;3.0;0.0;23.0;5.0;5.0;1.0;5;8.0;0.0
1967;4;5;62981.0;0;0;21;796.0;14.0;590.0;38.0;44.0;0.0;1.0;4.0;5.0;13;3.0;0.0
1976;0;2;9548.0;1;0;31;0.0;1.0;3.0;10.0;6.0;9.0;2.0;1.0;0.0;3;8.0;0.0
1959;4;3;33762.0;2;1;61;53.0;1.0;34.0;2.0;0.0;16.0;3.0;2.0;2.0;2;8.0;0.0
1973;4;1;35860.0;1;1;37;15.0;0.0;8.0;4.0;2.0;20.0;2.0;1.0;1.0;2;5.0;0.0
1965;4;2;36921.0;1;1;74;17.0;1.0;12.0;3.0;1.0;4.0;2.0;2.0;0.0;3;7.0;0.0
1992;2;4;92859.0;0;0;46;962.0;61.0;820.2565973619579;52.0;61.0;20.0;1.0;5.0;4.0;12;2.0;0.0
1976;2;5;65104.0;0;1;4;738.0;0.0;232.0;13.0;20.0;50.0;2.0;3.0;5.0;7;7.0;0.0
1962;1;3;86111.0;0;0;73;399.0;28.0;756.0;36.0;40.0;126.0;1.0;5.0;7.0;10;2.0;0.0
1974;4;4;68352.0;0;1;47;614.0;16.0;132.0;43.0;33.0;33.0;3.0;8.0;5.0;9;6.0;0.0
1988;1;5;41883.0;1;0;13;32.0;34.0;41.0;73.0;16.0;116.0;3.0;4.0;2.0;3;7.0;0.0
1976;1;3;59809.0;0;2;36;598.0;16.0;141.0;32.0;41.0;49.0;3.0;3.0;3.0;6;8.0;0.0
1975;1;3;23957.0;1;0;47;2.0;1.0;18.0;20.0;11.0;16.0;1.0;2.0;0.0;3;6.0;0.0
1981;1;5;38547.0;1;0;49;6.0;1.0;10.0;0.0;1.0;4.0;1.0;1.0;0.0;2;8.0;0.29499006712069265
1973;3;3;35688.0;2;1;94;73.0;3.0;90.0;12.0;1.0;32.0;6.674673391341949;4.0;1.0;4;8.0;0.0
1966;2;3;49605.0;0;0;65;42.0;16.0;29.0;12.0;20.0;8.0;1.0;2.0;1.0;4;3.0;0.0
1953;2;3;59354.0;0;2;59;295.0;21.0;78.0;39.0;13.0;13.0;1.0;4.0;4.0;7;3.0;0.0
1969;1;3;65747.0;0;1;96;346.0;17.0;48.0;23.0;13.0;13.0;4.0;8.0;1.0;6;6.0;0.0
1972;3;5;46344.0;0;1;28;233.0;20.0;57.0;8.0;20.0;91.0;4.0;7.0;1.0;5;7.0;0.0
1988;1;1;34176.0;1;0;12;5.0;7.0;24.0;19.0;14.0;20.0;4.0;3.0;0.0;4;6.0;0.0
1952;4;5;61010.0;0;1;57;888.0;0.0;57.0;0.0;0.0;76.0;2.0;8.0;5.0;11;5.0;0.0
1949;1;5;69372.0;0;0;10;997.0;26.0;269.0;34.0;13.0;42.0;1.0;10.0;4.0;6;4.0;0.0
1958;1;4;49967.0;0;1;4;212.0;6.0;69.0;4.0;12.0;3.0;3.0;6.0;1.0;5;7.0;0.0
1978;1;4;60199.0;1;2;49;8.0;1.0;7.0;2.0;0.0;0.0;1.0;0.0;0.0;3;4.0;0.0
1977;1;5;55375.0;0;1;3;42.0;11.0;57.0;10.0;28.0;14.0;1.0;1.0;1.0;6;2.0;0.0
1955;1;4;80317.0;0;0;64;536.0;11.0;387.0;149.0;91.0;57.0;1.0;3.0;4.0;10;1.0;0.0
1958;2;4;30523.0;2;1;0;5.0;0.0;3.0;0.0;0.0;5.0;1.0;1.0;0.0;2;7.0;0.0
1945;4;3;70356.0;0;0;20;1314.5179221227115;16.0;249.0;43.0;16.0;33.0;2.0;10.0;6.0;9;6.0;0.0
1984;1;3;23228.0;1;0;91;53.0;3.0;49.0;7.0;4.0;5.0;4.0;3.0;0.0;4;8.0;0.0
1975;4;2;74165.0;0;0;9;1001.0;12.0;240.0;16.0;12.0;12.0;1.0;5.0;4.0;10;2.0;0.0
1966;1;5;43482.0;2;1;83;18.0;1.0;32.0;6.0;3.0;28.0;3.0;2.0;0.0;4;6.0;0.0
1953;1;2;62551.0;0;0;27;125.0;16.0;98.0;134.0;21.0;27.0;1.0;6.0;7.0;4;3.0;0.0
1959;1;2;52332.0;0;0;63;212.0;5.0;33.0;7.0;0.0;2.0;1.0;3.0;2.0;6;4.0;0.0
1988;1;4;66951.0;0;0;46;277.0;146.6455714594779;305.0;173.0;76.0;124.0;1.0;3.0;4.0;7;1.0;0.0
1957;1;5;26091.0;1;1;84;15.0;10.0;19.0;8.0;17.0;20.0;3.0;2.0;1.0;3;5.0;0.0
1965;1;5;33456.0;1;1;58;7.0;3.0;10.0;8.0;1.0;7.0;2.0;1.0;0.0;3;7.0;0.0
1982;1;3;28718.0;1;0;78;12.0;4.0;6.0;11.0;8.0;16.0;2.0;2.0;0.0;3;8.0;0.0
1970;1;3;50447.0;2;0;4;85.0;7.0;24.0;2.0;3.0;27.0;1.0;3.0;1.0;3;6.0;0.0
1959;4;5;53537.0;1;1;17;81.0;0.0;6.0;0.0;0.0;6.0;2.0;2.0;1.0;3;5.0;0.0
1967;1;4;52074.0;0;1;77;59.0;0.0;12.0;0.0;0.0;48.0;1.0;2.0;2.0;2;4.0;0.0
1975;4;3;80427.0;0;1;56;1149.0;71.0;449.0;69.0;71.0;26.0;1.0;11.0;8.0;8;5.0;0.0
1948;4;3;83837.0;0;0;79;847.0;66.0;119.0;86.0;89.0;111.0;1.0;9.0;10.0;5;4.0;0.0
1970;4;3;38853.0;1;1;90;29.0;0.0;14.0;0.0;0.0;2.0;2.0;2.0;0.0;3;7.0;0.0
1959;1;5;38285.0;2;1;96;2.0;0.0;5.0;2.0;0.0;1.0;1.0;0.0;0.0;3;2.0;0.0
1951;3;3;78497.0;0;0;44;207.0;26.0;447.0;75.0;0.0;200.27102189365988;1.0;5.0;7.0;12;2.0;0.0
1976;4;3;51650.0;0;1;81;152.0;3.0;22.0;2.0;5.0;7.0;1.0;4.0;1.0;4;5.0;0.0
1988;3;3;16248.0;1;0;77;12.0;11.0;10.0;3.0;12.0;9.0;3.0;2.0;1.0;3;6.0;0.0
1946;2;3;66835.0;0;0;21;620.0;26.0;195.0;34.0;17.0;141.0;1.0;6.0;4.0;13;2.0;0.0
1984;2;3;30477.0;1;0;16;47.0;1.0;6.0;0.0;0.0;12.0;1.0;1.0;1.0;3;6.0;0.0
1961;0;3;28249.0;0;0;80;1.0;9.0;7.0;2.0;14.0;10.0;1.0;2.0;0.0;3;6.0;0.0
1983;1;3;25271.0;1;0;45;10.0;1.0;18.0;10.0;4.0;7.0;1.0;1.0;1.0;2;9.0;0.0
1970;4;4;32303.0;0;1;63;35.0;0.0;2.0;0.0;0.0;2.0;2.0;1.0;0.0;4;5.0;0.0
1966;1;3;61286.0;0;1;34;356.0;0.0;107.0;19.0;9.0;117.0;2.0;7.0;1.0;8;5.0;0.0
1976;1;3;74068.0;0;0;14;783.0;30.0;537.0;140.0;76.0;15.0;1.0;4.0;10.0;9;2.0;0.0
1964;4;3;45759.0;1;1;13;42.0;1.0;18.0;3.0;0.0;4.0;2.0;2.0;0.0;3;7.0;0.0
1978;0;5;24882.0;1;0;52;1.0;4.0;10.0;29.0;0.0;36.0;1.0;1.0;1.0;2;6.0;0.0
1989;4;5;66973.0;0;0;98;466.0;22.0;432.0;147.0;113.0;102.0;1.0;8.0;7.0;12;3.0;0.0
1988;1;3;38872.0;1;0;93;23.0;3.0;21.0;3.0;19.0;22.0;2.0;3.0;0.0;3;8.0;0.0
1973;1;3;51148.0;1;1;38;235.0;6.0;45.0;8.0;9.0;12.0;4.0;5.0;1.0;6;6.0;0.0
1977;1;3;31353.0;1;1;24;10.0;0.0;10.0;3.0;1.0;7.0;2.0;1.0;1.0;2;8.0;0.0
1980;2;3;69661.0;0;0;80;656.0;16.0;106.0;32.0;16.0;8.0;1.0;7.0;3.0;12;3.0;0.0
1954;1;3;80067.0;0;0;82;519.0;17.0;813.0;27.0;150.299786191687;51.0;1.0;4.0;6.0;6;2.0;0.0
1954;1;3;86718.0;0;0;20;344.0;146.6455714594779;482.0;50.0;33.0;172.0;1.0;5.0;6.0;5;2.0;0.0
1973;4;4;46854.0;1;1;81;96.0;1.0;79.0;7.0;1.0;79.0;6.0;5.0;1.0;3;8.0;0.0
1952;1;2;69142.0;0;1;50;448.0;4.0;34.0;6.0;4.0;39.0;3.0;8.0;1.0;7;5.0;0.0
1968;1;4;75922.0;0;0;60;265.0;138.0;553.0;202.59642869944088;23.0;92.0;1.0;4.0;4.0;9;1.0;0.0
1978;1;2;63693.0;0;1;63;587.0;43.0;337.0;42.0;87.0;54.0;3.0;11.0;6.0;9;6.0;0.0
1977;4;5;102160.0;0;0;54;763.0;29.0;138.0;76.0;150.299786191687;58.0;0.0;7.0;9.0;10;4.0;0.0
1965;4;4;40637.0;1;1;72;22.0;0.0;13.0;0.0;0.0;3.0;2.0;1.0;0.0;3;7.0;0.0
1984;2;4;18890.0;0;0;5;6.0;4.0;1.0;7.0;2.0;15.0;1.0;0.0;1.0;2;6.0;0.0
1988;1;5;29604.0;1;0;88;7.0;6.0;13.0;7.0;6.0;14.0;1.0;1.0;0.0;3;9.0;0.0
1963;2;2;48721.0;1;1;50;81.0;18.0;113.0;47.0;13.0;21.0;6.0;4.0;2.0;5;6.0;0.0
1966;1;3;44794.0;0;1;99;54.0;0.0;7.0;0.0;0.0;4.0;1.0;2.0;0.0;3;6.0;0.0
1954;1;2;64497.0;0;1;17;1170.0;48.0;320.0;42.0;32.0;192.0;5.0;11.0;4.0;9;8.0;0.0
1956;1;5;46097.0;0;1;11;72.0;24.0;68.0;65.0;4.0;8.0;5.0;3.0;1.0;6;4.0;0.0
1954;1;5;77972.0;0;0;18;613.0;22.0;319.0;33.0;102.0;12.0;1.0;4.0;6.0;9;1.0;0.0
1985;1;3;70951.0;0;0;66;239.0;10.0;554.0;202.59642869944088;87.0;54.0;1.0;3.0;4.0;9;1.0;0.0
1977;1;3;41443.0;1;0;79;171.0;7.0;171.0;25.0;19.0;89.0;6.0;8.0;1.0;5;8.0;0.0
1978;3;4;52195.0;2;1;2;12.0;0.0;4.0;0.0;0.0;1.0;1.0;1.0;0.0;2;8.0;0.0
1948;2;3;83790.0;0;0;81;1076.0;16.0;417.0;42.0;48.0;16.0;1.0;8.0;10.0;6;3.0;0.0
1954;2;6;44551.0;0;1;24;182.0;4.0;33.0;0.0;0.0;66.0;2.0;4.0;1.0;5;7.0;0.0
